Target Value,"Knapsack (3, 11, 23)",Total Coins,Execution Time (µs),Combination,Satisfiability
36,"[3, 2, 6]",11,1288.1755828857422,[],Unsatisfiable
53,"[6, 0, 5]",11,1294.1360473632812,[],Unsatisfiable
32,"[10, 0, 1]",11,1255.035400390625,"[3, 3, 3, 23]",Satisfiable
157,"[11, 0, 0]",11,1282.2151184082031,[],Unsatisfiable
195,"[2, 9, 0]",11,1225.9483337402344,[],Unsatisfiable
37,"[2, 1, 8]",11,1102.9243469238281,"[3, 11, 23]",Satisfiable
62,"[5, 3, 3]",11,1130.819320678711,"[3, 3, 11, 11, 11, 23]",Satisfiable
91,"[11, 0, 0]",11,1219.9878692626953,[],Unsatisfiable
36,"[10, 1, 0]",11,1196.8612670898438,[],Unsatisfiable
33,"[6, 0, 5]",11,1207.113265991211,[],Unsatisfiable
51,"[5, 3, 3]",11,1122.2362518310547,"[3, 3, 11, 11, 23]",Satisfiable
24,"[9, 0, 2]",11,1688.9572143554688,"[3, 3, 3, 3, 3, 3, 3, 3]",Satisfiable
21,"[9, 3, 0]",12,2465.0096893310547,"[3, 3, 3, 3, 3, 3, 3]",Satisfiable
200,"[8, 1, 3]",12,2658.1287384033203,[],Unsatisfiable
134,"[0, 12, 0]",12,2676.0101318359375,[],Unsatisfiable
195,"[3, 3, 6]",12,2623.0812072753906,[],Unsatisfiable
122,"[2, 0, 10]",12,2686.023712158203,[],Unsatisfiable
63,"[4, 3, 5]",12,2453.0887603759766,"[3, 3, 11, 23, 23]",Satisfiable
125,"[2, 1, 9]",12,2607.107162475586,[],Unsatisfiable
176,"[7, 0, 5]",12,2654.0756225585938,[],Unsatisfiable
151,"[7, 2, 3]",12,2609.0145111083984,[],Unsatisfiable
185,"[8, 1, 3]",12,2676.0101318359375,[],Unsatisfiable
39,"[8, 0, 4]",12,2619.9817657470703,[],Unsatisfiable
82,"[12, 0, 0]",12,2679.109573364258,[],Unsatisfiable
186,"[5, 5, 2]",12,2597.0935821533203,[],Unsatisfiable
86,"[3, 3, 6]",12,2410.888671875,"[3, 3, 11, 23, 23, 23]",Satisfiable
141,"[2, 3, 7]",12,2485.036849975586,"[3, 23, 23, 23, 23, 23, 23]",Satisfiable
107,"[9, 0, 3]",12,2629.995346069336,[],Unsatisfiable
150,"[5, 5, 2]",12,2794.027328491211,[],Unsatisfiable
30,"[6, 3, 3]",12,2622.365951538086,[],Unsatisfiable
168,"[8, 0, 4]",12,2620.9354400634766,[],Unsatisfiable
57,"[7, 3, 2]",12,2469.0628051757812,"[3, 3, 3, 3, 11, 11, 23]",Satisfiable
179,"[5, 3, 4]",12,2639.0552520751953,[],Unsatisfiable
51,"[2, 6, 4]",12,2458.0955505371094,"[3, 3, 11, 11, 23]",Satisfiable
103,"[7, 3, 2]",12,2618.7896728515625,[],Unsatisfiable
116,"[12, 0, 0]",12,2727.985382080078,[],Unsatisfiable
161,"[5, 5, 2]",12,2645.9693908691406,[],Unsatisfiable
118,"[11, 0, 1]",12,2621.889114379883,[],Unsatisfiable
38,"[3, 0, 9]",12,3076.0765075683594,[],Unsatisfiable
123,"[7, 3, 2]",12,2610.2066040039062,[],Unsatisfiable
85,"[8, 1, 3]",12,2745.1515197753906,[],Unsatisfiable
79,"[3, 6, 3]",12,2599.954605102539,"[11, 11, 11, 23, 23]",Satisfiable
53,"[12, 0, 0]",12,2669.095993041992,[],Unsatisfiable
